"","Q197","Q53_21","Q53_23","Q53_24","Q53_30","Q53_31","Q53_33","Q53_20","Q53_22","Q53_26","Q53_27","Q53_28","Q53_29","Q53_32","Q53_34","Q53_35","Q54_36","Q54_37","Q54_38","Q54_39","Q54_40","Q54_42","Q54_43","Q54_44","Q54_45","Q54_46","Q54_47","Q54_48","Q54_49","Q54_50","Q54_51","Wave2_Q197","Wave2_Q53_21","Wave2_Q53_23","Wave2_Q53_24","Wave2_Q53_30","Wave2_Q53_31","Wave2_Q53_33","Wave2_Q53_20","Wave2_Q53_22","Wave2_Q53_26","Wave2_Q53_27","Wave2_Q53_28","Wave2_Q53_29","Wave2_Q53_32","Wave2_Q53_34","Wave2_Q53_35","Wave2_Q54_36","Wave2_Q54_37","Wave2_Q54_38","Wave2_Q54_39","Wave2_Q54_40","Wave2_Q54_42","Wave2_Q54_43","Wave2_Q54_44","Wave2_Q54_45","Wave2_Q54_46","Wave2_Q54_47","Wave2_Q54_48","Wave2_Q54_49","Wave2_Q54_50","Wave2_Q54_51","MFQ30AUTHmean","Wave2_MFQ30AUTHmean","MFQ30FAIRmean","Wave2_MFQ30FAIRmean","MFQ30HARMmean","Wave2_MFQ30HARMmean","MFQ30LOYALmean","Wave2_MFQ30LOYALmean","MFQ30PUREmean","Wave2_MFQ30PUREmean","MFQ30_INDIVIDUALIZING_M","WAVE2_MFQ30INDIVIDUALIZING_M","MFQ30_BINDING_M","WAVE2_MFQ30BINDING_M","age","sex","education"
"1",2,5,0,0,0,5,5,5,0,5,5,0,0,5,5,0,3,5,3,0,0,5,5,0,0,5,4,0,0,0,0,2,5,0,0,0,5,5,5,0,5,5,5,0,5,5,0,5,5,5,1,0,5,5,0,0,0,5,0,0,0,0,0.833333333333333,1,4.16666666666667,4.16666666666667,4.5,5,1.33333333333333,2.5,0.833333333333333,0,4.33333333333333,4.58333333333333,1,1.16666666666667,2015,NA,NA
"2",3,3,3,4,4,5,3,3,4,4,5,5,2,4,4,0,4,5,4,3,2,5,3,5,2,0,0,0,1,5,3,4,5,1,0,0,5,0,5,0,4,5,0,0,5,5,0,5,5,5,3,0,5,3,5,0,0,1,5,3,5,0,3.16666666666667,2.33333333333333,3.33333333333333,4.66666666666667,3.5,4.16666666666667,3.66666666666667,2.16666666666667,2.16666666666667,0,3.41666666666667,4.41666666666667,3,1.5,2015,NA,7
"3",2,3,3,5,3,3,3,5,3,3,5,3,3,3,3,5,4,5,3,5,5,5,3,5,2,3,5,1,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,2,2,3,2,2,3,3,0,2,3,2,3.33333333333333,1.33333333333333,3.33333333333333,0.833333333333333,4.16666666666667,1.33333333333333,3.33333333333333,1.16666666666667,4,1.16666666666667,3.75,1.08333333333333,3.55555555555556,1.22222222222222,2015,NA,NA
"4",5,1,2,2,3,4,2,2,1,1,1,1,2,5,3,0,1,0,4,3,1,5,5,3,4,2,2,0,2,3,2,4,4,3,2,4,4,4,5,4,3,4,4,3,5,4,1,5,3,5,3,1,5,3,4,4,2,2,1,2,2,4,2.83333333333333,3.16666666666667,2,3.33333333333333,2.5,4,2.16666666666667,3.83333333333333,1.66666666666667,2.33333333333333,2.25,3.66666666666667,2.22222222222222,3.11111111111111,2015,NA,NA
"5",4,3,3,4,4,4,4,1,2,3,4,5,3,2,4,2,3,4,5,4,5,3,4,4,3,4,3,4,4,1,3,5,2,2,1,1,4,1,1,3,0,4,2,1,2,2,3,1,2,1,1,3,5,0,5,4,2,1,2,4,2,0,3,2,3.5,2,2.83333333333333,2,4,2.66666666666667,3.66666666666667,1.66666666666667,3.16666666666667,2,3.55555555555556,2.11111111111111,2015,NA,NA
"6",6,4,4,5,3,5,2,4,3,4,4,4,0,5,5,5,4,2,4,5,3,5,4,4,2,5,0,0,3,3,5,6,4,2,3,2,3,4,3,2,3,3,1,2,5,5,5,2,4,4,5,4,2,4,3,5,4,4,0,3,3,5,3.16666666666667,3.66666666666667,3.16666666666667,3.33333333333333,3.66666666666667,2.83333333333333,3.33333333333333,2.83333333333333,4.33333333333333,3.83333333333333,3.41666666666667,3.08333333333333,3.61111111111111,3.44444444444444,2015,NA,NA
"7",2,4,3,1,2,5,3,4,2,5,5,0,0,4,2,0,4,5,5,4,3,4,4,1,0,0,2,0,0,4,0,2,3,2,1,1,5,2,4,2,4,5,3,0,5,2,0,4,5,4,4,1,4,5,1,2,0,1,2,0,2,2,2.16666666666667,2,3.66666666666667,4.16666666666667,4,3.66666666666667,1.83333333333333,2,1,0.833333333333333,3.83333333333333,3.91666666666667,1.66666666666667,1.61111111111111,2015,NA,NA
"8",3,4,1,3,1,1,1,3,1,2,1,4,1,1,1,1,3,4,1,1,1,1,0,0,1,1,4,3,1,4,4,3,3,1,3,1,3,1,1,1,1,1,1,1,1,2,2,3,2,2,2,3,2,2,3,2,2,4,3,1,2,2,1.5,1.66666666666667,2.16666666666667,2,2.33333333333333,2.33333333333333,1.33333333333333,1.5,1.83333333333333,2.16666666666667,2.25,2.16666666666667,1.55555555555556,1.77777777777778,2015,NA,NA
"9",2,4,3,3,1,4,3,4,1,3,4,4,2,5,3,1,3,2,4,4,3,3,3,3,1,2,5,1,3,3,2,2,3,1,1,0,3,1,4,1,2,1,1,1,3,2,0,3,3,3,3,1,3,2,3,1,0,4,1,3,4,1,2.66666666666667,2,3.16666666666667,2.16666666666667,3.66666666666667,3.16666666666667,3,2,2,0.5,3.41666666666667,2.66666666666667,2.55555555555556,1.5,2015,NA,NA
"10",5,3,0,3,1,5,0,5,0,5,5,2,0,5,3,0,5,5,0,2,2,3,3,3,3,0,1,0,0,0,2,5,4,1,3,3,4,4,4,1,4,4,4,0,4,3,5,5,5,5,5,5,5,5,4,4,3,0,0,4,5,1,1.33333333333333,3,3.5,3.66666666666667,4,3.66666666666667,0.833333333333333,3.66666666666667,1.33333333333333,3.33333333333333,3.75,3.66666666666667,1.16666666666667,3.33333333333333,2015,NA,NA
