"","def_w1","def_w2","econ_w1","econ_w2","soc_w1","soc_w2","EG1_BINDING_SHORT","EG2_BINDING_SHORT","authority1","authority2","loyalty1","loyalty2","purity1","purity2","EG1_IND_SHORT","EG2_IND_SHORT","fairness1","fairness2","harm1","harm2","AGE","Q50","sex_num","Q17_02","Q17_06","Q17_09","Q17_15","Q17_18","Q17_23","Q17_24","Q17_04","Q17_21","Q17_26","Q17_12","Q17_28","Q17_30","RETEST_Q17_02","RETEST_Q17_06","RETEST_Q17_09","RETEST_Q17_15","RETEST_Q17_18","RETEST_Q17_23","RETEST_Q17_24","RETEST_Q17_04","RETEST_Q17_21","RETEST_Q17_26","RETEST_Q17_12","RETEST_Q17_28","RETEST_Q17_30"
"1",NA,1.66666666666667,NA,1.6,NA,2.42857142857143,NA,3.66666666666667,NA,3.5,NA,3.5,NA,4,NA,3.75,NA,4,NA,3.5,53,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,3,1,2,2,1,1,1,2,2
"2",NA,2.33333333333333,NA,1.2,NA,2.42857142857143,NA,3.5,NA,3.5,NA,3.5,NA,3.5,NA,3.75,NA,3.5,NA,4,52,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,3,3,3,1,1,1,3,2,2
"3",NA,2.33333333333333,NA,1.4,NA,1.85714285714286,NA,4.16666666666667,NA,4.5,NA,4,NA,4,NA,3.75,NA,4,NA,3.5,49,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,1,1,2,1,1,1,1,3,3
"4",NA,2.33333333333333,NA,1,NA,1.28571428571429,NA,3.5,NA,2,NA,4.5,NA,4,NA,4,NA,4,NA,4,56,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,1,1,1,1,1,1,2,3,2
"5",NA,2.33333333333333,NA,1,NA,1.42857142857143,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,2,1,1,1,1,2,3,2
"6",NA,2,NA,1.2,NA,1.85714285714286,NA,3.83333333333333,NA,3.5,NA,3.5,NA,4.5,NA,4,NA,4,NA,4,60,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,1,1,2,1,1,1,2,2,2
"7",NA,1.33333333333333,NA,1.8,NA,2.28571428571429,NA,3.16666666666667,NA,3.5,NA,2.5,NA,3.5,NA,3.75,NA,4,NA,3.5,55,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,1,3,2,1,3,1,1,2,1
"8",NA,NA,NA,NA,NA,NA,NA,3.33333333333333,NA,3,NA,3,NA,4,NA,2.5,NA,3,NA,2,46,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,2,NA,1.8,NA,1.71428571428571,NA,3.83333333333333,NA,4.5,NA,3,NA,4,NA,4.5,NA,5,NA,4,44,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,1,1,1,1,3,1,2,3,1
"10",NA,1.66666666666667,NA,1,NA,1.14285714285714,NA,1.83333333333333,NA,2,NA,1.5,NA,2,NA,3.5,NA,2.5,NA,4.5,42,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,1,1,1,1,3,1
"11",NA,1.66666666666667,NA,1.8,NA,2,NA,5,NA,5,NA,5,NA,5,NA,3.5,NA,2.5,NA,4.5,53,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,1,2,3,1,2,2,1,2,2
"12",NA,1.66666666666667,NA,1,NA,2.28571428571429,NA,1.83333333333333,NA,2,NA,3,NA,0.5,NA,3,NA,3.5,NA,2.5,28,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,1,2,2,1,1,1,1,3,1
"13",NA,1.66666666666667,NA,1.4,NA,3,NA,2.66666666666667,NA,2.5,NA,2,NA,3.5,NA,2.75,NA,2.5,NA,3,51,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,1,2,1,1,3,1
"14",NA,2.33333333333333,NA,1,NA,1,NA,3,NA,2.5,NA,3,NA,3.5,NA,3.5,NA,3.5,NA,3.5,49,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,3,2
"15",NA,1,NA,2,NA,2,NA,0.166666666666667,NA,0,NA,0.5,NA,0,NA,1.75,NA,1.5,NA,2,62,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,1,1,2,1,2,1,1,1,1
"16",NA,1.66666666666667,NA,1.8,NA,2.14285714285714,NA,2.5,NA,1.5,NA,1,NA,5,NA,0.5,NA,0,NA,1,60,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,1,1,1,3,1,1,3,1
"17",NA,1.66666666666667,NA,1,NA,1.14285714285714,NA,2.66666666666667,NA,1.5,NA,4,NA,2.5,NA,4.25,NA,4,NA,4.5,54,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,3,1
"18",NA,1.33333333333333,NA,1,NA,1,NA,3.16666666666667,NA,3,NA,3,NA,3.5,NA,4.5,NA,4,NA,5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,2,1
"19",NA,1.66666666666667,NA,1,NA,1.42857142857143,NA,4.16666666666667,NA,4.5,NA,3.5,NA,4.5,NA,3.25,NA,3.5,NA,3,68,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,1,1,1,1,1,1,1,3,1
"20",NA,1.66666666666667,NA,1,NA,1.85714285714286,NA,4.5,NA,4.5,NA,4,NA,5,NA,4,NA,4,NA,4,63,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,1,2,2,1,1,1,1,3,1
"21",NA,3,NA,1.4,NA,1.71428571428571,NA,3,NA,3,NA,3,NA,3,NA,3.75,NA,3.5,NA,4,56,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,1,1,2,1,3,1,3,3,3
"22",NA,2,NA,1,NA,1.85714285714286,NA,1.83333333333333,NA,1,NA,2.5,NA,2,NA,2,NA,2.5,NA,1.5,50,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,1,2,2,1,1,1,2,3,1
"23",NA,2.66666666666667,NA,1.6,NA,1.28571428571429,NA,3.66666666666667,NA,3.5,NA,3.5,NA,4,NA,2.5,NA,2.5,NA,2.5,49,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,3,1,2,3,3
"24",NA,1.33333333333333,NA,2.2,NA,1.28571428571429,NA,4,NA,4,NA,4,NA,4,NA,3.5,NA,4,NA,3,62,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,2,3,1,1,2,1
"25",NA,1.66666666666667,NA,1.6,NA,2.28571428571429,NA,4.5,NA,4.5,NA,4.5,NA,4.5,NA,4,NA,4,NA,4,61,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,3,1,2,2,1,1,1,3,1
"26",NA,2.66666666666667,NA,1.4,NA,1.71428571428571,NA,4,NA,2.5,NA,4.5,NA,5,NA,5,NA,5,NA,5,57,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,3,1,1,1,2,1,2,3,3
"27",NA,1,NA,2,NA,2.57142857142857,NA,3.83333333333333,NA,4,NA,4,NA,3.5,NA,4.5,NA,4.5,NA,4.5,45,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,2,1,3,2,1,1,1,1
"28",NA,1.33333333333333,NA,1.6,NA,2.28571428571429,NA,4.33333333333333,NA,3.5,NA,4.5,NA,5,NA,4.5,NA,5,NA,4,44,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,1,3,3,1,2,1,1,2,1
"29",NA,2,NA,1.2,NA,1.85714285714286,NA,1.33333333333333,NA,1.5,NA,1.5,NA,1,NA,2.5,NA,2.5,NA,2.5,24,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,1,2,2,1,1,1,2,2,2
"30",NA,3,NA,1,NA,1,NA,2.83333333333333,NA,2,NA,3,NA,3.5,NA,4.25,NA,4.5,NA,4,26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,3,3,3
"31",NA,3,NA,1.2,NA,2.28571428571429,NA,4.16666666666667,NA,4,NA,4,NA,4.5,NA,3,NA,4,NA,2,60,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,2,3,3,2,1,1,3,3,3
"32",NA,1.66666666666667,NA,1.4,NA,1.14285714285714,NA,3.83333333333333,NA,3,NA,4,NA,4.5,NA,3.5,NA,4,NA,3,49,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,1,1,1,1,3,1
"33",NA,2.33333333333333,NA,1.8,NA,1.28571428571429,NA,3.66666666666667,NA,3.5,NA,4,NA,3.5,NA,3.5,NA,3.5,NA,3.5,50,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,1,1,3,3,1,1,3,3
"34",NA,1.66666666666667,NA,1.8,NA,2.14285714285714,NA,3.66666666666667,NA,4,NA,3,NA,4,NA,3,NA,3,NA,3,55,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,3,1,1,3,1,1,1,3,1
"35",NA,1.66666666666667,NA,1,NA,1.42857142857143,NA,3.33333333333333,NA,3,NA,4,NA,3,NA,4,NA,4,NA,4,51,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,1,1,1,1,1,1,3,1
